cluster	feature	p_c	p_rest	delta_p	delta_p_ci_lo	delta_p_ci_hi	cohens_h	log_OR	fisher_p	support	fisher_p_bh	bh_reject	is_defining_descriptive
0	AGly	0.7712418300653595	0.03436426116838488	0.7368775688969746	0.7027098353659906	0.7702457156975046	1.7712781685546877	4.525630653942512	1.589022611745921e-200	708	3.0191429623172496e-199	True	True
0	Col	0.029411764705882353	0.0	0.029411764705882353	0.01958061002178649	0.0403322440087146	0.344701179798646	3.5817569333691317	2.2747445139866473e-06	27	2.542361515632135e-06	True	False
0	Fcyn	0.011982570806100218	0.003436426116838488	0.00854614468926173	-0.0008015520068279311	0.016636064505985673	0.10206012807321067	1.0792525384939897	0.09325571122359508	11	0.09325571122359508	False	False
0	Flq	0.4128540305010893	0.018900343642611683	0.39395368685847765	0.36033623071221615	0.4356023852840105	1.1197790492080908	3.5541292600031564	7.83718138309571e-81	379	1.861330578485231e-80	True	True
0	MLS	0.24836601307189543	0.010309278350515464	0.23805673472137998	0.20583322103182625	0.26204180985108816	0.8400001135239463	3.379293400292435	2.950507362334861e-45	228	5.0963308985783965e-45	True	True
0	Phe	0.46296296296296297	0.022336769759450172	0.4406261932035128	0.40217640320733106	0.4741335938728298	1.1966204108596503	3.5938111865827453	1.0811217234743415e-92	425	2.9344732494303557e-92	True	True
0	Rif	0.10348583877995643	0.00859106529209622	0.09489477348786021	0.07307374839970353	0.11613828807582599	0.4693897236985617	2.499523048026513	8.852913463211969e-16	95	1.2014668271501958e-15	True	False
0	Sul	0.7080610021786492	0.030927835051546393	0.6771331671271028	0.6436330660557465	0.7080099049929249	1.646407732806058	4.303060035509078	1.367326220190256e-173	650	1.2989599091807433e-172	True	True
0	Tet	0.49019607843137253	0.018900343642611683	0.47129573478876086	0.4386746737641219	0.5066502144958784	1.2753566047345348	3.8667394232355767	1.829201682234468e-103	450	5.792471993742482e-103	True	True
0	Tmt	0.644880174291939	0.027491408934707903	0.6173887653572311	0.5881097971834782	0.6504084967320262	1.5316235749710887	4.132037623854327	5.090828654750164e-150	592	3.2241914813417705e-149	True	True
0	Bla	0.6328976034858388	0.0429553264604811	0.5899422770253577	0.5550398108842621	0.6282486018462369	1.4222852306723082	3.628829512816028	5.48930689928773e-134	581	2.607420777161672e-133	True	True
0	Bla_inhR	0.0196078431372549	0.003436426116838488	0.016171417020416412	0.007281068211935404	0.02708038541877232	0.16367007414791274	1.5624196367320595	0.009120427668265374	18	0.009627118094280117	True	False
