Strain_ID,genome_id,antibiotic,resistant_phenotype,measurement,measurement_unit,laboratory_typing_method
GCF_900508985.1,573.21278,meropenem,,0.12,mg/L,Broth dilution
GCF_900508635.1,573.21242,meropenem,,0.5,mg/L,Broth dilution
GCF_900508135.1,573.21192,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506655.1,573.21045,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900505705.1,573.20949,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507475.1,573.21126,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900505865.1,573.20965,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508165.1,573.21195,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900505965.1,573.20975,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507505.1,573.21132,meropenem,,1,mg/L,Broth dilution
GCF_900507185.1,573.21098,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506415.1,573.21019,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506625.1,573.21041,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507685.1,573.21147,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506175.1,573.20996,meropenem,,0.25,mg/L,Broth dilution
GCF_900506955.1,573.21074,meropenem,,4,mg/L,Broth dilution
GCF_900507705.1,573.21149,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507155.1,573.21094,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900505585.1,573.20938,meropenem,,0.5,mg/L,Broth dilution
GCF_900508255.1,573.21205,meropenem,,0.25,mg/L,Broth dilution
GCF_900507525.1,573.21129,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508845.1,573.21263,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900505815.1,573.20959,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506195.1,573.20998,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506485.1,573.21027,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506205.1,573.20999,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506685.1,573.21047,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508285.1,573.21207,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508715.1,573.21250,meropenem,,>32,mg/L,Broth dilution
GCF_900508795.1,573.21258,colistin,Susceptible,,,Broth dilution
GCF_900506295.1,573.21008,colistin,Susceptible,,,Broth dilution
GCF_900505445.1,573.20923,colistin,Susceptible,,,Broth dilution
GCF_900508745.1,573.21253,colistin,Susceptible,,,Broth dilution
GCF_900507245.1,573.21103,colistin,Susceptible,,,Broth dilution
GCF_900507905.1,573.21169,colistin,Susceptible,,,Broth dilution
GCF_900507765.1,573.21156,colistin,Susceptible,,,Broth dilution
GCF_900507985.1,573.21177,colistin,Susceptible,,,Broth dilution
GCF_900508735.1,573.21252,colistin,Susceptible,,,Broth dilution
GCF_900507775.1,573.21155,colistin,Susceptible,,,Broth dilution
GCF_900507425.1,573.21121,colistin,Susceptible,,,Broth dilution
GCF_900508695.1,573.21248,colistin,Susceptible,,,Broth dilution
GCF_900507735.1,573.21152,colistin,Susceptible,,,Broth dilution
GCF_900508035.1,573.21181,colistin,Susceptible,,,Broth dilution
GCF_900507785.1,573.21157,colistin,Susceptible,,,Broth dilution
GCF_900506325.1,573.21011,colistin,Susceptible,,,Broth dilution
GCF_900508515.1,573.21230,colistin,Susceptible,,,Broth dilution
GCF_900507965.1,573.21175,colistin,Susceptible,,,Broth dilution
GCF_900508745.1,573.21253,meropenem,,>32,mg/L,Broth dilution
GCF_900505445.1,573.20923,meropenem,,1,mg/L,Broth dilution
GCF_900508795.1,573.21258,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507785.1,573.21157,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507905.1,573.21169,meropenem,,4,mg/L,Broth dilution
GCF_900506295.1,573.21008,meropenem,,2,mg/L,Broth dilution
GCF_900508735.1,573.21252,meropenem,,32,mg/L,Broth dilution
GCF_900507985.1,573.21177,meropenem,,4,mg/L,Broth dilution
GCF_900507765.1,573.21156,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508695.1,573.21248,meropenem,,0.12,mg/L,Broth dilution
GCF_900507965.1,573.21175,meropenem,,2,mg/L,Broth dilution
GCF_900508515.1,573.21230,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900506325.1,573.21011,meropenem,,8,mg/L,Broth dilution
GCF_900507775.1,573.21155,meropenem,,2,mg/L,Broth dilution
GCF_900507425.1,573.21121,meropenem,,>32,mg/L,Broth dilution
GCF_900507295.1,573.21108,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507245.1,573.21103,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900508035.1,573.21181,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900507735.1,573.21152,meropenem,,16,mg/L,Broth dilution
GCF_900507295.1,573.21108,colistin,Susceptible,,,Broth dilution
GCF_900512205.1,573.21531,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900513825.1,573.21693,meropenem,,16,mg/L,Broth dilution
GCF_900513555.1,573.21666,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511875.1,573.21498,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512575.1,573.21568,meropenem,,0.25,mg/L,Broth dilution
GCF_900513935.1,573.21704,meropenem,,4,mg/L,Broth dilution
GCF_900512695.1,573.21580,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900510015.1,573.21312,meropenem,,0.25,mg/L,Broth dilution
GCF_900512225.1,573.21533,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512115.1,573.21529,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512045.1,573.21515,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512265.1,573.21537,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512085.1,573.21519,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900510115.1,573.21322,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512425.1,573.21553,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511455.1,573.21456,meropenem,,0.12,mg/L,Broth dilution
GCF_900513415.1,573.21652,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900513655.1,573.21676,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900509985.1,573.21309,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512735.1,573.21584,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512705.1,573.21581,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512095.1,573.21520,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900509125.1,573.21291,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512135.1,573.21523,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900513175.1,573.21628,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512475.1,573.21558,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512825.1,573.21593,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512145.1,573.21524,meropenem,,0.12,mg/L,Broth dilution
GCF_900512955.1,573.21606,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511995.1,573.21510,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900509115.1,573.21290,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511165.1,573.21427,colistin,Susceptible,,,Broth dilution
GCF_900510395.1,573.21350,colistin,Susceptible,,,Broth dilution
GCF_900513075.1,573.21618,colistin,Susceptible,,,Broth dilution
GCF_900512865.1,573.21594,colistin,Susceptible,,,Broth dilution
GCF_900511675.1,573.21477,colistin,Susceptible,,,Broth dilution
GCF_900511085.1,573.21419,colistin,Susceptible,,,Broth dilution
GCF_900510465.1,573.21357,colistin,Susceptible,,,Broth dilution
GCF_900509025.1,573.21280,colistin,Susceptible,,,Broth dilution
GCF_900512945.1,573.21605,colistin,Susceptible,,,Broth dilution
GCF_900511265.1,573.21436,colistin,Susceptible,,,Broth dilution
GCF_900513275.1,573.21637,colistin,Susceptible,,,Broth dilution
GCF_900510725.1,573.21383,colistin,Susceptible,,,Broth dilution
GCF_900513745.1,573.21685,colistin,Susceptible,,,Broth dilution
GCF_900511325.1,573.21443,colistin,Susceptible,,,Broth dilution
GCF_900512875.1,573.21597,colistin,Resistant,,,Broth dilution
GCF_900512985.1,573.21609,colistin,Susceptible,,,Broth dilution
GCF_900512665.1,573.21577,colistin,Susceptible,,,Broth dilution
GCF_900511695.1,573.21479,colistin,Susceptible,,,Broth dilution
GCF_900512405.1,573.21551,colistin,Susceptible,,,Broth dilution
GCF_900509905.1,573.21301,colistin,Susceptible,,,Broth dilution
GCF_900511615.1,573.21472,colistin,Susceptible,,,Broth dilution
GCF_900510445.1,573.21355,colistin,Susceptible,,,Broth dilution
GCF_900510425.1,573.21353,colistin,Susceptible,,,Broth dilution
GCF_900513145.1,573.21625,colistin,Susceptible,,,Broth dilution
GCF_900510665.1,573.21377,colistin,Susceptible,,,Broth dilution
GCF_900513125.1,573.21623,colistin,Susceptible,,,Broth dilution
GCF_900511335.1,573.21444,colistin,Susceptible,,,Broth dilution
GCF_900513115.1,573.21622,colistin,Susceptible,,,Broth dilution
GCF_900513075.1,573.21618,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512875.1,573.21597,meropenem,,>32,mg/L,Broth dilution
GCF_900511675.1,573.21477,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511615.1,573.21472,meropenem,,0.12,mg/L,Broth dilution
GCF_900511265.1,573.21436,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900510395.1,573.21350,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512945.1,573.21605,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900513145.1,573.21625,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900510425.1,573.21353,meropenem,,2,mg/L,Broth dilution
GCF_900510665.1,573.21377,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900513125.1,573.21623,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900510465.1,573.21357,meropenem,,2,mg/L,Broth dilution
GCF_900511695.1,573.21479,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511085.1,573.21419,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900510445.1,573.21355,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511165.1,573.21427,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900511325.1,573.21443,meropenem,,0.5,mg/L,Broth dilution
GCF_900513275.1,573.21637,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512865.1,573.21594,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512405.1,573.21551,meropenem,,4,mg/L,Broth dilution
GCF_900513745.1,573.21685,meropenem,,1,mg/L,Broth dilution
GCF_900513115.1,573.21622,meropenem,,16,mg/L,Broth dilution
GCF_900512985.1,573.21609,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900509025.1,573.21280,meropenem,,4,mg/L,Broth dilution
GCF_900512035.1,573.21514,meropenem,,2,mg/L,Broth dilution
GCF_900512665.1,573.21577,meropenem,,1,mg/L,Broth dilution
GCF_900511335.1,573.21444,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900510725.1,573.21383,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900509905.1,573.21301,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900512035.1,573.21514,colistin,Susceptible,,,Broth dilution
GCF_900517545.1,573.22065,colistin,Susceptible,,,Broth dilution
GCF_900516075.1,573.21918,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514035.1,573.21714,meropenem,,16,mg/L,Broth dilution
GCF_900517825.1,573.22093,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900513965.1,573.21707,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516975.1,573.22008,meropenem,,0.12,mg/L,Broth dilution
GCF_900516955.1,573.22006,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900515245.1,573.21835,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517105.1,573.22021,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514425.1,573.21753,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517035.1,573.22014,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514375.1,573.21749,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517605.1,573.22072,colistin,Susceptible,,,Broth dilution
GCF_900516655.1,573.21974,colistin,Susceptible,,,Broth dilution
GCF_900515865.1,573.21897,colistin,Susceptible,,,Broth dilution
GCF_900514665.1,573.21777,colistin,Susceptible,,,Broth dilution
GCF_900515705.1,573.21880,colistin,Susceptible,,,Broth dilution
GCF_900514415.1,573.21752,colistin,Susceptible,,,Broth dilution
GCF_900517285.1,573.22039,colistin,Susceptible,,,Broth dilution
GCF_900517355.1,573.22046,colistin,Susceptible,,,Broth dilution
GCF_900516215.1,573.21935,colistin,Susceptible,,,Broth dilution
GCF_900517595.1,573.22070,colistin,Susceptible,,,Broth dilution
GCF_900517205.1,573.22031,colistin,Susceptible,,,Broth dilution
GCF_900514595.1,573.21770,colistin,Susceptible,,,Broth dilution
GCF_900517175.1,573.22028,colistin,Susceptible,,,Broth dilution
GCF_900517755.1,573.22086,colistin,Susceptible,,,Broth dilution
GCF_900517435.1,573.22054,colistin,Susceptible,,,Broth dilution
GCF_900516355.1,573.21946,colistin,Susceptible,,,Broth dilution
GCF_900515995.1,573.21910,colistin,Susceptible,,,Broth dilution
GCF_900515105.1,573.21821,colistin,Susceptible,,,Broth dilution
GCF_900516735.1,573.21984,colistin,Susceptible,,,Broth dilution
GCF_900514155.1,573.21726,colistin,Susceptible,,,Broth dilution
GCF_900517575.1,573.22068,colistin,Susceptible,,,Broth dilution
GCF_900517245.1,573.22035,colistin,Susceptible,,,Broth dilution
GCF_900516525.1,573.21963,colistin,Susceptible,,,Broth dilution
GCF_900514705.1,573.21781,colistin,Susceptible,,,Broth dilution
GCF_900514105.1,573.21721,colistin,Susceptible,,,Broth dilution
GCF_900517495.1,573.22060,colistin,Susceptible,,,Broth dilution
GCF_900517505.1,573.22061,colistin,Susceptible,,,Broth dilution
GCF_900516365.1,573.21947,colistin,Susceptible,,,Broth dilution
GCF_900516125.1,573.21923,colistin,Susceptible,,,Broth dilution
GCF_900516165.1,573.21926,colistin,Susceptible,,,Broth dilution
GCF_900516405.1,573.21951,colistin,Susceptible,,,Broth dilution
GCF_900517205.1,573.22031,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514705.1,573.21781,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516525.1,573.21963,meropenem,,1,mg/L,Broth dilution
GCF_900514595.1,573.21770,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900515865.1,573.21897,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517505.1,573.22061,meropenem,,1,mg/L,Broth dilution
GCF_900517435.1,573.22054,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517755.1,573.22086,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514665.1,573.21777,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517595.1,573.22070,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517175.1,573.22028,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516105.1,573.21921,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516355.1,573.21946,meropenem,,0.12,mg/L,Broth dilution
GCF_900516245.1,573.21934,meropenem,,>32,mg/L,Broth dilution
GCF_900515995.1,573.21910,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517245.1,573.22035,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517575.1,573.22068,meropenem,,32,mg/L,Broth dilution
GCF_900517605.1,573.22072,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517765.1,573.22087,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517355.1,573.22046,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516215.1,573.21935,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514105.1,573.21721,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516655.1,573.21974,meropenem,,0.5,mg/L,Broth dilution
GCF_900516365.1,573.21947,meropenem,,>32,mg/L,Broth dilution
GCF_900514985.1,573.21809,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516735.1,573.21984,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900517495.1,573.22060,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514155.1,573.21726,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900515105.1,573.21821,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516405.1,573.21951,meropenem,,4,mg/L,Broth dilution
GCF_900516125.1,573.21923,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900514415.1,573.21752,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900515705.1,573.21880,meropenem,,4,mg/L,Broth dilution
GCF_900516165.1,573.21926,meropenem,,8,mg/L,Broth dilution
GCF_900517285.1,573.22039,meropenem,,<=0.06,mg/L,Broth dilution
GCF_900516105.1,573.21921,colistin,Susceptible,,,Broth dilution
GCF_900514985.1,573.21809,colistin,Susceptible,,,Broth dilution
GCF_900517765.1,573.22087,colistin,Susceptible,,,Broth dilution
GCF_900516245.1,573.21934,colistin,Resistant,,,Broth dilution
GCF_003664955.1,573.22567,ceftazidime,Susceptible,,,
GCF_003664915.1,573.22566,florfenicol,Resistant,,,Broth dilution
GCF_003664765.1,573.22559,imipenem,Susceptible,,,
GCF_003664955.1,573.22567,amikacin,Susceptible,,,
GCF_003664915.1,573.22566,amoxicillin/clavulanic acid,Resistant,,,
GCF_003664765.1,573.22559,colistin,Susceptible,,,
GCF_003664915.1,573.22566,piperacillin/tazobactam,Resistant,,,
GCF_003664955.1,573.22567,ciprofloxacin,Resistant,,,
GCF_003664915.1,573.22566,amikacin,Susceptible,,,
GCF_003664765.1,573.22559,ceftazidime,Susceptible,,,
GCF_003664765.1,573.22559,fosfomycin,Resistant,,,
GCF_003664955.1,573.22567,colistin,Susceptible,,,
GCF_003664915.1,573.22566,nitrofurantoin,Resistant,,,
GCF_003664765.1,573.22559,cefotaxime,Resistant,,,
GCF_003664915.1,573.22566,meropenem,Susceptible,,,
GCF_003664765.1,573.22559,ciprofloxacin,Resistant,,,
GCF_003664915.1,573.22566,trimethoprim/sulfamethoxazole,Resistant,,,
GCF_003664765.1,573.22559,tetracycline,Resistant,,,
GCF_003664915.1,573.22566,ciprofloxacin,Resistant,,,
GCF_003664955.1,573.22567,trimethoprim/sulfamethoxazole,Resistant,,,
GCF_003664955.1,573.22567,gentamicin,Resistant,,,
GCF_003664915.1,573.22566,tetracycline,Resistant,,,
GCF_003664765.1,573.22559,nitrofurantoin,Resistant,,,
GCF_003664955.1,573.22567,cefotaxime,Resistant,,,
GCF_003664915.1,573.22566,colistin,Susceptible,,,
GCF_003664765.1,573.22559,meropenem,Susceptible,,,
GCF_003664955.1,573.22567,tetracycline,Resistant,,,
GCF_003664955.1,573.22567,amoxicillin/clavulanic acid,Resistant,,,
GCF_003664915.1,573.22566,imipenem,Susceptible,,,
GCF_003664915.1,573.22566,cefotaxime,Resistant,,,
GCF_003664915.1,573.22566,fosfomycin,Resistant,,,
GCF_003664955.1,573.22567,meropenem,Susceptible,,,
GCF_003664955.1,573.22567,ertapenem,Susceptible,,,
GCF_003664955.1,573.22567,tigecycline,Susceptible,,,
GCF_003664955.1,573.22567,nitrofurantoin,Intermediate,,,
GCF_003664915.1,573.22566,ceftazidime,Susceptible,,,
GCF_003664955.1,573.22567,imipenem,Susceptible,,,
GCF_003664955.1,573.22567,florfenicol,Susceptible,,,Broth dilution
GCF_003664765.1,573.22559,gentamicin,Resistant,,,
GCF_003664955.1,573.22567,fosfomycin,Resistant,,,
GCF_003664915.1,573.22566,ertapenem,Susceptible,,,
GCF_003664765.1,573.22559,amoxicillin/clavulanic acid,Resistant,,,
GCF_003664765.1,573.22559,amikacin,Susceptible,,,
GCF_003664765.1,573.22559,ertapenem,Susceptible,,,
GCF_003664765.1,573.22559,florfenicol,Resistant,,,Broth dilution
GCF_003664955.1,573.22567,ertapenem,,0.05,mg/L,Broth dilution
GCF_003664765.1,573.22559,florfenicol,,32,mg/L,Broth dilution
GCF_003664915.1,573.22566,ceftazidime,,0.5,mg/L,Broth dilution
GCF_003664915.1,573.22566,gentamicin,,32,mg/L,Broth dilution
GCF_003664765.1,573.22559,gentamicin,,16,mg/L,Broth dilution
GCF_003664955.1,573.22567,amikacin,,2,mg/L,Broth dilution
GCF_003664765.1,573.22559,fosfomycin,,256,mg/L,Broth dilution
GCF_003664765.1,573.22559,nitrofurantoin,,128,mg/L,Broth dilution
GCF_003664915.1,573.22566,trimethoprim/sulfamethoxazole,,>16,mg/L,Broth dilution
GCF_003664765.1,573.22559,tetracycline,,128,mg/L,Broth dilution
GCF_003664915.1,573.22566,cefotaxime,,8,mg/L,Broth dilution
GCF_003664765.1,573.22559,imipenem,,0.125,mg/L,Broth dilution
GCF_003664955.1,573.22567,imipenem,,0.125,mg/L,Broth dilution
GCF_003664955.1,573.22567,trimethoprim/sulfamethoxazole,,8,mg/L,Broth dilution
GCF_003664765.1,573.22559,piperacillin/tazobactam,,4,mg/L,Broth dilution
GCF_003664915.1,573.22566,imipenem,,0.125,mg/L,Broth dilution
GCF_003664955.1,573.22567,meropenem,,0.015,mg/L,Broth dilution
GCF_003664915.1,573.22566,colistin,,125,mg/L,Broth dilution
GCF_003664955.1,573.22567,ciprofloxacin,,0.5,mg/L,Broth dilution
GCF_003664915.1,573.22566,meropenem,,0.015,mg/L,Broth dilution
GCF_003664915.1,573.22566,tigecycline,,2,mg/L,Broth dilution
GCF_003664765.1,573.22559,amikacin,,2,mg/L,Broth dilution
GCF_003664915.1,573.22566,amikacin,,4,mg/L,Broth dilution
GCF_003664765.1,573.22559,ceftazidime,,1,mg/L,Broth dilution
GCF_003664955.1,573.22567,nitrofurantoin,,64,mg/L,Broth dilution
GCF_003664915.1,573.22566,ciprofloxacin,,16,mg/L,Broth dilution
GCF_003664955.1,573.22567,amoxicillin/clavulanic acid,,32,mg/L,Broth dilution
GCF_003664765.1,573.22559,tigecycline,,1,mg/L,Broth dilution
GCF_003664915.1,573.22566,fosfomycin,,256,mg/L,Broth dilution
GCF_003664915.1,573.22566,tetracycline,,128,mg/L,Broth dilution
GCF_003664955.1,573.22567,colistin,,0.06,mg/L,Broth dilution
GCF_003664915.1,573.22566,piperacillin/tazobactam,,256,mg/L,Broth dilution
GCF_003664915.1,573.22566,nitrofurantoin,,256,mg/L,Broth dilution
GCF_003664765.1,573.22559,colistin,,0.125,mg/L,Broth dilution
GCF_003664765.1,573.22559,meropenem,,0.015,mg/L,Broth dilution
GCF_003664765.1,573.22559,cefotaxime,,8,mg/L,Broth dilution
GCF_003664955.1,573.22567,ceftazidime,,1,mg/L,Broth dilution
GCF_003664955.1,573.22567,piperacillin/tazobactam,,256,mg/L,Broth dilution
GCF_003664915.1,573.22566,florfenicol,,>32,mg/L,Broth dilution
GCF_003664915.1,573.22566,amoxicillin/clavulanic acid,,16,mg/L,Broth dilution
GCF_003664765.1,573.22559,amoxicillin/clavulanic acid,,16,mg/L,Broth dilution
GCF_003664765.1,573.22559,trimethoprim/sulfamethoxazole,,8,mg/L,Broth dilution
GCF_003664765.1,573.22559,ertapenem,,0.015,mg/L,Broth dilution
GCF_003664955.1,573.22567,tigecycline,,4,mg/L,Broth dilution
GCF_003664955.1,573.22567,cefotaxime,,>32,mg/L,Broth dilution
GCF_003664955.1,573.22567,fosfomycin,,>256,mg/L,Broth dilution
GCF_003664955.1,573.22567,florfenicol,,2,mg/L,Broth dilution
GCF_003664765.1,573.22559,ciprofloxacin,,4,mg/L,Broth dilution
GCF_003664915.1,573.22566,ertapenem,,0.06,mg/L,Broth dilution
GCF_003664765.1,573.22559,tigecycline,,1,mg/L,
GCF_003664955.1,573.22567,tetracycline,,128,mg/L,Broth dilution
GCF_003664955.1,573.22567,gentamicin,,64,mg/L,Broth dilution
GCF_003664915.1,573.22566,gentamicin,Resistant,,,
GCF_003664955.1,573.22567,piperacillin/tazobactam,Resistant,,,
GCF_003664765.1,573.22559,piperacillin/tazobactam,Resistant,,,
GCF_003664765.1,573.22559,trimethoprim/sulfamethoxazole,Resistant,,,
GCF_003664915.1,573.22566,tigecycline,Intermediate,,,
GCF_003664865.1,573.22564,fosfomycin,Resistant,,,
GCF_003664865.1,573.22564,ciprofloxacin,Resistant,,,
GCF_003664865.1,573.22564,amoxicillin/clavulanic acid,Resistant,,,
GCF_003664865.1,573.22564,piperacillin/tazobactam,Resistant,,,
GCF_003664865.1,573.22564,trimethoprim/sulfamethoxazole,Resistant,,,
GCF_003664865.1,573.22564,ceftazidime,Intermediate,,,
GCF_003664865.1,573.22564,imipenem,Susceptible,,,
GCF_003664865.1,573.22564,ceftazidime,Intermediate,,,
GCF_003664865.1,573.22564,imipenem,Susceptible,,,
GCF_003664865.1,573.22564,amikacin,Susceptible,,,
GCF_003664865.1,573.22564,gentamicin,Resistant,,,
GCF_003664865.1,573.22564,trimethoprim/sulfamethoxazole,Resistant,,,
GCF_003664865.1,573.22564,tetracycline,Resistant,,,
GCF_003664865.1,573.22564,florfenicol,Resistant,,,Broth dilution
GCF_003664865.1,573.22564,ciprofloxacin,Resistant,,,
GCF_003664865.1,573.22564,florfenicol,Resistant,,,Broth dilution
GCF_003664865.1,573.22564,meropenem,Susceptible,,,
GCF_003664865.1,573.22564,tigecycline,Intermediate,,,
GCF_003664865.1,573.22564,fosfomycin,Resistant,,,
GCF_003664865.1,573.22564,amoxicillin/clavulanic acid,Resistant,,,
GCF_003664865.1,573.22564,gentamicin,Resistant,,,
GCF_003664865.1,573.22564,ertapenem,Susceptible,,,
GCF_003664865.1,573.22564,amikacin,Susceptible,,,
GCF_003664865.1,573.22564,ertapenem,Susceptible,,,
GCF_003664865.1,573.22564,nitrofurantoin,Resistant,,,
GCF_003664865.1,573.22564,imipenem,,0.25,mg/L,Broth dilution
GCF_003664865.1,573.22564,gentamicin,,32,mg/L,Broth dilution
GCF_003664865.1,573.22564,ertapenem,,0.015,mg/L,Broth dilution
GCF_003664865.1,573.22564,ceftazidime,,2,mg/L,Broth dilution
GCF_003664865.1,573.22564,nitrofurantoin,,256,mg/L,Broth dilution
GCF_003664865.1,573.22564,colistin,,0.125,mg/L,Broth dilution
GCF_003664865.1,573.22564,tigecycline,,2,mg/L,Broth dilution
GCF_003664865.1,573.22564,amikacin,,4,mg/L,Broth dilution
GCF_003664865.1,573.22564,trimethoprim/sulfamethoxazole,,>16,mg/L,Broth dilution
GCF_003664865.1,573.22564,ciprofloxacin,,16,mg/L,Broth dilution
GCF_003664865.1,573.22564,piperacillin/tazobactam,,32,mg/L,Broth dilution
GCF_003664865.1,573.22564,imipenem,,0.25,mg/L,Broth dilution
GCF_003664865.1,573.22564,fosfomycin,,256,mg/L,Broth dilution
GCF_003664865.1,573.22564,colistin,,0.125,mg/L,Broth dilution
GCF_003664865.1,573.22564,trimethoprim/sulfamethoxazole,,>16,mg/L,Broth dilution
GCF_003664865.1,573.22564,fosfomycin,,256,mg/L,Broth dilution
GCF_003664865.1,573.22564,cefotaxime,,2,mg/L,Broth dilution
GCF_003664865.1,573.22564,gentamicin,,32,mg/L,Broth dilution
GCF_003664865.1,573.22564,tetracycline,,128,mg/L,Broth dilution
GCF_003664865.1,573.22564,amoxicillin/clavulanic acid,,16,mg/L,Broth dilution
GCF_003664865.1,573.22564,meropenem,,0.015,mg/L,Broth dilution
GCF_003664865.1,573.22564,cefotaxime,,2,mg/L,Broth dilution
