Strain_ID,genome_id,antibiotic,resistant_phenotype,measurement,measurement_unit,laboratory_typing_method
GCF_000567145.1,1400164.3,trimethoprim/sulfamethoxazole,,>8,mg/L,Broth dilution
GCF_000694515.1,1438787.3,ampicillin,,16,mg/L,Broth dilution
GCF_000694515.1,1438787.3,meropenem,,<=0.25,mg/L,Broth dilution
GCF_000694515.1,1438787.3,imipenem,,<=0.25,mg/L,Broth dilution
GCF_000567145.1,1400164.3,tigecycline,,<2,mg/L,Broth dilution
GCF_000567145.1,1400164.3,tobramycin,,8,mg/L,Broth dilution
GCF_000694515.1,1438787.3,amikacin,,<=2,mg/L,Broth dilution
GCF_000567145.1,1400164.3,cefazolin,,>32,mg/L,Broth dilution
GCF_000694515.1,1438787.3,cefotaxime,,<=1,mg/L,Broth dilution
GCF_002248135.1,573.14841,colistin,Resistant,,mm,Disk diffusion
GCF_000566905.1,1400176.3,ampicillin,,>=32,mg/L,Broth dilution
GCF_000567605.1,1328382.3,gentamicin,Susceptible,,,Broth dilution
GCF_000567605.1,1328382.3,amikacin,Susceptible,,,Broth dilution
GCF_000492735.1,1328384.3,cefotaxime,Resistant,,,Broth dilution
GCF_000566845.1,1400179.3,cephalothin,,<=1,mg/L,Broth dilution
GCF_000492735.1,1328384.3,tigecycline,Susceptible,,,Broth dilution
GCF_000492735.1,1328384.3,cephalothin,Susceptible,,,Broth dilution
GCF_000492515.1,1328394.3,tigecycline,,4,mg/L,Broth dilution
GCF_000566845.1,1400179.3,cefazolin,,<=2,mg/L,Broth dilution
GCF_000566885.1,1400177.3,trimethoprim/sulfamethoxazole,,<=20,mg/L,Broth dilution
GCF_000694935.1,1438811.3,cefoxitin,,<=4,mg/L,Broth dilution
GCF_000566905.1,1400176.3,tigecycline,,<=2,mg/L,Broth dilution
GCF_000694935.1,1438811.3,tigecycline,,<=2,mg/L,Broth dilution
GCF_000566905.1,1400176.3,ampicillin/sulbactam,,>=32,mg/L,Broth dilution
GCF_000566845.1,1400179.3,ertapenem,,<=0.25,mg/L,Broth dilution
GCF_000694935.1,1438811.3,ertapenem,,<=0.25,mg/L,Broth dilution
GCF_000567605.1,1328382.3,trimethoprim/sulfamethoxazole,Resistant,,,Broth dilution
GCF_000567605.1,1328382.3,tigecycline,Susceptible,,,Broth dilution
GCF_000694935.1,1438811.3,trimethoprim/sulfamethoxazole,,<=20,mg/L,Broth dilution
GCF_000492735.1,1328384.3,amikacin,Susceptible,,,Broth dilution
GCF_000694935.1,1438811.3,meropenem,,<=0.25,mg/L,Broth dilution
GCF_000566885.1,1400177.3,cephalothin,,<=1,mg/L,Broth dilution
GCF_000566885.1,1400177.3,nitrofurantoin,,64,mg/L,Broth dilution
GCF_000566905.1,1400176.3,cephalothin,,>=64,mg/L,Broth dilution
GCF_000567605.1,1328382.3,meropenem,,2,mg/L,Broth dilution
GCF_000566885.1,1400177.3,gentamicin,,<=1,mg/L,Broth dilution
GCF_000566905.1,1400176.3,trimethoprim/sulfamethoxazole,,>=320,mg/L,Broth dilution
GCF_000567605.1,1328382.3,cephalothin,Susceptible,,,Broth dilution
GCF_000492515.1,1328394.3,ceftazidime,,<=1,mg/L,Broth dilution
GCF_000492735.1,1328384.3,ciprofloxacin,Susceptible,,,Broth dilution
GCF_000566905.1,1400176.3,nitrofurantoin,,32,mg/L,Broth dilution
GCF_000492515.1,1328394.3,cephalothin,,<=1,mg/L,Broth dilution
GCF_000492515.1,1328394.3,meropenem,,<=0.25,mg/L,Broth dilution
GCF_000492735.1,1328384.3,nitrofurantoin,Susceptible,,,Broth dilution
GCF_000492735.1,1328384.3,ampicillin,Resistant,,,Broth dilution
GCF_000492735.1,1328384.3,cefazolin,Resistant,,,Broth dilution
GCF_000694935.1,1438811.3,nitrofurantoin,,128,mg/L,Broth dilution
GCF_000566845.1,1400179.3,meropenem,,<=0.25,mg/L,Broth dilution
GCF_000566905.1,1400176.3,meropenem,,>=4,mg/L,Broth dilution
GCF_000566885.1,1400177.3,ampicillin,,>=32,mg/L,Broth dilution
GCF_000694935.1,1438811.3,ceftazidime,,<=1,mg/L,Broth dilution
GCF_000694935.1,1438811.3,gentamicin,,<=1,mg/L,Broth dilution
GCF_000566845.1,1400179.3,trimethoprim/sulfamethoxazole,,<=20,mg/L,Broth dilution
GCF_000566885.1,1400177.3,ampicillin/sulbactam,,<=2,mg/L,Broth dilution
GCF_000567605.1,1328382.3,ampicillin/sulbactam,Resistant,,,Broth dilution
GCF_000694935.1,1438811.3,amikacin,,<=2,mg/L,Broth dilution
GCF_000567605.1,1328382.3,levofloxacin,Susceptible,,,Broth dilution
GCF_000566885.1,1400177.3,ceftazidime,,<=1,mg/L,Broth dilution
GCF_000566905.1,1400176.3,cefazolin,,>=8,mg/L,Broth dilution
GCF_000566885.1,1400177.3,cefoxitin,,<=4,mg/L,Broth dilution
GCF_000492515.1,1328394.3,imipenem,,<=1,mg/L,Broth dilution
GCF_000492735.1,1328384.3,meropenem,Susceptible,,,Broth dilution
GCF_000566905.1,1400176.3,amikacin,,<=2,mg/L,Broth dilution
GCF_000567605.1,1328382.3,ampicillin,Resistant,,,Broth dilution
GCF_000566845.1,1400179.3,ampicillin,,>=32,mg/L,Broth dilution
GCF_000566885.1,1400177.3,cefazolin,,<=2,mg/L,Broth dilution
GCF_000566885.1,1400177.3,levofloxacin,,<=0.12,mg/L,Broth dilution
GCF_000492735.1,1328384.3,cefoxitin,Susceptible,,,Broth dilution
GCF_000492515.1,1328394.3,trimethoprim/sulfamethoxazole,,>=320,mg/L,Broth dilution
GCF_000566845.1,1400179.3,nitrofurantoin,,64,mg/L,Broth dilution
GCF_000566845.1,1400179.3,cefoxitin,,<=4,mg/L,Broth dilution
GCF_000566845.1,1400179.3,gentamicin,,<=1,mg/L,Broth dilution
GCF_000492735.1,1328384.3,ertapenem,Susceptible,,,Broth dilution
GCF_000566885.1,1400177.3,ertapenem,,<=0.25,mg/L,Broth dilution
GCF_000566885.1,1400177.3,meropenem,,<=0.25,mg/L,Broth dilution
GCF_000492735.1,1328384.3,levofloxacin,Susceptible,,,Broth dilution
GCF_000566845.1,1400179.3,levofloxacin,,<=0.12,mg/L,Broth dilution
GCF_000566885.1,1400177.3,amikacin,,<=2,mg/L,Broth dilution
GCF_000566905.1,1400176.3,ertapenem,,>=1,mg/L,Broth dilution
GCF_000566845.1,1400179.3,ampicillin/sulbactam,,4,mg/L,Broth dilution
GCF_000566845.1,1400179.3,tigecycline,,<=2,mg/L,Broth dilution
GCF_000566905.1,1400176.3,ciprofloxacin,,>=4,mg/L,Broth dilution
GCF_000566845.1,1400179.3,cefotaxime,,<=1,mg/L,Broth dilution
GCF_000492515.1,1328394.3,cefotaxime,,<=1,mg/L,Broth dilution
GCF_000492515.1,1328394.3,gentamicin,,<=1,mg/L,Broth dilution
GCF_000566905.1,1400176.3,gentamicin,,>=16,mg/L,Broth dilution
GCF_000566845.1,1400179.3,ciprofloxacin,,<=0.25,mg/L,Broth dilution
GCF_000567605.1,1328382.3,cefotaxime,Resistant,,,Broth dilution
GCF_000492735.1,1328384.3,trimethoprim/sulfamethoxazole,Susceptible,,,Broth dilution
GCF_000694935.1,1438811.3,cefotaxime,,<=1,mg/L,Broth dilution
GCF_000566845.1,1400179.3,imipenem,,<=1,mg/L,Broth dilution
GCF_000694935.1,1438811.3,ampicillin/sulbactam,,8,mg/L,Broth dilution
GCF_000492515.1,1328394.3,ertapenem,,<=0.25,mg/L,Broth dilution
GCF_000567605.1,1328382.3,cefoxitin,Susceptible,,,Broth dilution
GCF_000694935.1,1438811.3,ciprofloxacin,,<=0.25,mg/L,Broth dilution
GCF_000694935.1,1438811.3,cefazolin,,<=2,mg/L,Broth dilution
GCF_000566885.1,1400177.3,tigecycline,,<=2,mg/L,Broth dilution
GCF_000492515.1,1328394.3,ampicillin/sulbactam,,16,mg/L,Broth dilution
GCF_000566905.1,1400176.3,cefoxitin,,>=64,mg/L,Broth dilution
GCF_000567605.1,1328382.3,nitrofurantoin,Intermediate,,,Broth dilution
GCF_000567605.1,1328382.3,ciprofloxacin,Susceptible,,,Broth dilution
GCF_000694935.1,1438811.3,cephalothin,,<=1,mg/L,Broth dilution
GCF_000566885.1,1400177.3,cefotaxime,,<=1,mg/L,Broth dilution
GCF_000567605.1,1328382.3,ertapenem,,2,mg/L,Broth dilution
GCF_000492515.1,1328394.3,levofloxacin,,1,mg/L,Broth dilution
GCF_000567605.1,1328382.3,ceftazidime,Resistant,,,Broth dilution
GCF_000492735.1,1328384.3,ampicillin/sulbactam,Intermediate,,,Broth dilution
GCF_000492515.1,1328394.3,ampicillin,,>=32,mg/L,Broth dilution
GCF_000566905.1,1400176.3,levofloxacin,,4,mg/L,Broth dilution
GCF_000694935.1,1438811.3,imipenem,,<=1,mg/L,Broth dilution
GCF_000492735.1,1328384.3,ceftazidime,Resistant,,,Broth dilution
GCF_000566845.1,1400179.3,ceftazidime,,<=1,mg/L,Broth dilution
GCF_000566905.1,1400176.3,ceftazidime,,16,mg/L,Broth dilution
GCF_000492515.1,1328394.3,cefoxitin,,<=4,mg/L,Broth dilution
GCF_000566885.1,1400177.3,imipenem,,<=1,mg/L,Broth dilution
GCF_000566845.1,1400179.3,amikacin,,<=2,mg/L,Broth dilution
GCF_000492515.1,1328394.3,cefazolin,,<=2,mg/L,Broth dilution
GCF_000566905.1,1400176.3,imipenem,,<=1,mg/L,Broth dilution
GCF_000492515.1,1328394.3,ciprofloxacin,,<=0.25,mg/L,Broth dilution
GCF_000694935.1,1438811.3,ampicillin,,>=32,mg/L,Broth dilution
GCF_000492515.1,1328394.3,amikacin,,<=2,mg/L,Broth dilution
GCF_000492735.1,1328384.3,gentamicin,Susceptible,,,Broth dilution
GCF_000567605.1,1328382.3,cefazolin,Resistant,,,Broth dilution
GCF_000566905.1,1400176.3,cefotaxime,,>=64,mg/L,Broth dilution
GCF_000694935.1,1438811.3,levofloxacin,,0.25,mg/L,Broth dilution
GCF_000492735.1,1328384.3,imipenem,Susceptible,,,Broth dilution
GCF_000567605.1,1328382.3,imipenem,,2,mg/L,Broth dilution
GCF_000492515.1,1328394.3,nitrofurantoin,,64,mg/L,Broth dilution
GCF_000566885.1,1400177.3,ciprofloxacin,,<=0.25,mg/L,Broth dilution
GCF_002235765.1,573.14805,meropenem,,>=16,mg/L,Broth dilution
GCF_002235765.1,573.14805,imipenem,,>=16,mg/L,Broth dilution
GCF_002235765.1,573.14805,ciprofloxacin,,>=4,mg/L,Broth dilution
GCF_002235765.1,573.14805,amikacin,,>=64,mg/L,Broth dilution
GCF_002235765.1,573.14805,ertapenem,,>=8,mg/L,Broth dilution
GCF_002235765.1,573.14805,gentamicin,,4,mg/L,Broth dilution
GCF_002235765.1,573.14805,tigecycline,,2,mg/L,Disk diffusion
GCF_002235765.1,573.14805,trimethoprim/sulfamethoxazole,,>=320,mg/L,Broth dilution
GCF_002235765.1,573.14805,colistin,,<=0.5,mg/L,Disk diffusion
GCF_002845885.1,573.16473,polymyxin b,,32,mg/L,Broth dilution
GCF_002753375.1,573.15373,meropenem,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,ceftriaxone,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,piperacillin/tazobactam,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,norfloxacin,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,ticarcillin/clavulanic acid,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,tobramycin,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,amikacin,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,trimethoprim/sulfamethoxazole,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,gentamicin,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,cefazolin,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,amoxicillin/clavulanic acid,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,ceftazidime,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,trimethoprim,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,cefoxitin,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,ampicillin,Resistant,,,Broth dilution
GCF_002753375.1,573.15373,ciprofloxacin,Susceptible,,,Broth dilution
GCF_002753375.1,573.15373,cefepime,Susceptible,,,Broth dilution
GCF_003186535.1,573.18472,ciprofloxacin,Susceptible,<=0.25,mg/L,Broth dilution
GCF_003186535.1,573.18472,ceftriaxone,Resistant,>=64,mg/L,Broth dilution
GCF_003186535.1,573.18472,nitrofurantoin,Resistant,==128,mg/L,Broth dilution
GCF_003186535.1,573.18472,amoxicillin/clavulanic acid,Resistant,>=32/16,mg/L,Broth dilution
GCF_003186535.1,573.18472,ceftazidime,Resistant,==16,mg/L,Broth dilution
GCF_003186535.1,573.18472,ampicillin,Resistant,>=32,mg/L,Broth dilution
GCF_003186535.1,573.18472,levofloxacin,Susceptible,<=0.12,mg/L,Broth dilution
GCF_003186535.1,573.18472,tobramycin,Resistant,>=16,mg/L,Broth dilution
GCF_003186535.1,573.18472,amikacin,Susceptible,<=2,mg/L,Broth dilution
GCF_003186535.1,573.18472,cefepime,Susceptible,==2,mg/L,Broth dilution
GCF_003186535.1,573.18472,cefoxitin,Susceptible,<=4,mg/L,Broth dilution
GCF_003186535.1,573.18472,tetracycline,Resistant,>=16,mg/L,Broth dilution
GCF_003186535.1,573.18472,gentamicin,Susceptible,<=1,mg/L,Broth dilution
GCF_003186535.1,573.18472,piperacillin/tazobactam,Susceptible,==16/4,mg/L,Broth dilution
GCF_003186535.1,573.18472,trimethoprim/sulfamethoxazole,Resistant,<=16/304,mg/L,Broth dilution
GCF_003186535.1,573.18472,meropenem,Susceptible,>=0.25,mg/L,Broth dilution
GCF_003186535.1,573.18472,ertapenem,Susceptible,<=0.5,mg/L,Broth dilution
GCF_003571645.1,573.20063,cefepime,Resistant,>32,mg/L,Broth dilution
GCF_003571645.1,573.20063,ceftazidime,Resistant,>128,mg/L,Broth dilution
GCF_003571645.1,573.20063,colistin,,==4,mg/L,Broth dilution
GCF_003571645.1,573.20063,ciprofloxacin,Resistant,>8,mg/L,Broth dilution
GCF_003571645.1,573.20063,meropenem,Resistant,>8,mg/L,Broth dilution
GCF_003571645.1,573.20063,trimethoprim/sulfamethoxazole,Resistant,>8/152,mg/L,Broth dilution
GCF_003571645.1,573.20063,polymyxin b,,==4,mg/L,Broth dilution
GCF_003571645.1,573.20063,tobramycin,Resistant,>16,mg/L,Broth dilution
