Strain,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
1597776,25,Canada,UNKNOWN,1/2,Pig,2014,32,128,256,128,0.5,no,no,yes,no,no,no,no,no,no,no,0.03,0.25,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1597778,26,Canada,SYS-OTHER,1/2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1600268,1,Canada,UNKNOWN,NA,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.06,0.5,0.12,no,no,yes,no,no,no
1601399,25,Canada,SYS-OTHER,1/2,Pig,2014,1.4999999999999999E-2,4,0.5,128,16,no,no,no,yes,no,no,no,no,yes,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,256,no,no,no,yes,yes,no,no,no,0.12,no,no,no,no,0.5,no,0.03,1.4999999999999999E-2,0.03,0.03,no,no,no,no,no,no
1601827,1,Canada,SYS-OTHER,NA,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1602949,10,Canada,SYS-OTHER,1,Pig,2014,0.03,0.25,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,8.0000000000000002E-3,0.25,no,no,no,0.06,0.03,no,no,no,no,no,no,no,no,no,no,no,1,no,no,no,no,no,no,no,no,0.03,no,no,no,no,0.5,no,0.03,8.0000000000000002E-3,0.06,0.03,no,no,no,no,no,no
1602951,27,Canada,RESP,2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,4,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1602952,9,Canada,RESP,NA,Pig,2014,0.03,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.06,0.03,0.25,1,yes,yes,yes,no,no,yes
1602954,5,Canada,RESP,8,Pig,2014,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1602956,1,Canada,SYS-OTHER,4,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1603813,26,Canada,UNKNOWN,2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1606517,1,Canada,UNKNOWN,3,Pig,2014,2,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1606529,26,Canada,UNKNOWN,1/2,Pig,2014,0.06,4,1,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1607743,1,Canada,UNKNOWN,4,Pig,2014,16,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.06,1,4,0.12,no,yes,yes,no,no,no
1607744,5,Canada,UNKNOWN,5,Pig,2014,16,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1610743,1,Canada,SYS-OTHER,3,Pig,2014,2,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1611505,4,Canada,SYS-OTHER,14,Pig,2014,0.06,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
1614720,8,Canada,UNKNOWN,16,Pig,2014,0.06,8,1,128,64,no,no,no,yes,no,no,no,no,yes,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,yes,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,2,0.12,no,yes,yes,no,no,no
1615460,10,Canada,SYS-OTHER,NA,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.06,0.12,0.03,no,no,no,no,no,no
1615461,1,Canada,SYS-BRAIN,9,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1615892,14,Canada,UNKNOWN,9,Pig,2014,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,yes,no,no,no,no,no
1619952,4,Canada,SYS-BRAIN,1,Pig,2014,0.03,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
1621705,21,Canada,SYS-OTHER,NA,Pig,2014,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,32,yes,yes,no,no,2,no,0.06,0.06,1,2,yes,yes,yes,no,no,yes
1622145,21,Canada,RESP,28,Pig,2014,16,128,256,128,8,yes,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,256,no,no,no,yes,no,no,no,no,1,yes,no,no,no,2,no,0.5,0.25,8,16,yes,no,yes,no,no,no
1628469,18,Canada,SYS-BRAIN,NA,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,32,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,yes,no,no,no,4,no,0.03,0.06,0.5,0.06,no,no,yes,no,no,no
1628823,5,Canada,SYS-BRAIN,8,Pig,2014,0.03,8,0.5,1,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1.4999999999999999E-2,no,no,no,no,2,no,0.03,0.06,0.12,0.03,no,no,no,no,no,no
1633180,1,Canada,SYS-BRAIN,23,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1636820,27,Canada,SYS-OTHER,2,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1637946,1,Canada,SYS-OTHER,5,Pig,2014,0.06,8,1,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1644048,4,Canada,SYS-OTHER,1,Pig,2014,0.03,8,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,1,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1650131,25,Canada,SYS-OTHER,2,Pig,2014,0.06,4,0.5,128,32,no,no,no,yes,no,no,no,no,yes,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.12,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1650132,26,Canada,SYS-OTHER,1/2,Pig,2014,0.03,4,0.5,128,16,no,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,256,no,no,no,yes,yes,no,no,no,0.12,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.06,0.03,no,no,no,no,no,no
1651929,26,Canada,RESP,2,Pig,2014,4,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1652716,1,Canada,SYS-BRAIN,4,Pig,2014,16,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1654537,26,Canada,RESP,1/2,Pig,2014,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,1,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1656890,1,Canada,SYS-OTHER,3,Pig,2014,2,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1659834,4,Canada,SYS-OTHER,1,Pig,2014,0.06,8,1,2,4,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1661949,25,Canada,SYS-OTHER,1/2,Pig,2014,0.03,2,0.5,0.12,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,16,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,0.5,no,0.03,1.4999999999999999E-2,0.06,0.03,no,no,no,no,no,no
1665814,1,Canada,SYS-OTHER,4,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1665815,19,Canada,SYS-OTHER,NA,Pig,2014,32,128,256,128,2,yes,no,no,yes,no,yes,no,no,yes,no,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,yes,yes,yes,yes,no,no,no,0.06,no,no,no,no,2,no,0.12,0.12,1,2,yes,no,yes,no,no,no
1666725,27,Canada,SYS-OTHER,2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,4,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1666727,4,Canada,SYS-OTHER,14,Pig,2014,0.03,8,1,2,4,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
1667796,27,Canada,SYS-BRAIN,2,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,2,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1671154,21,Canada,SYS-OTHER,27,Pig,2014,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,32,yes,no,no,no,2,no,0.12,0.12,1,1,yes,yes,yes,no,no,yes
87-4647,10,Canada,UNKNOWN,NA,Pig,1987,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
88-2775,21,Canada,RESP,13,Pig,1988,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.25,1,yes,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.06,0.06,1,4,yes,yes,yes,no,no,yes
88-4127,30,Canada,NON-CLINICAL,NA,Pig,1988,0.03,4,0.25,128,64,no,no,no,yes,no,no,no,no,yes,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,yes,no,yes,no,no,no,no,1,yes,no,no,no,2,no,0.06,0.12,8,4,yes,yes,yes,no,no,yes
88-5454A,25,Canada,RESP,3,Pig,1988,0.06,4,2,0.12,0.5,no,no,no,no,no,no,no,no,no,no,0.12,0.5,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
89-1591,27,Canada,SYS-OTHER,2,Pig,1989,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
89-1824,2,Canada,SYS-BRAIN,19,Pig,1989,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.12,0.5,yes,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.06,0.5,0.25,yes,no,yes,no,no,no
89-289,9,Canada,UNKNOWN,9,Pig,1989,32,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,yes,no,yes,no,no,no,no,0.06,no,no,no,no,2,no,0.06,0.06,1,2,yes,yes,yes,no,no,yes
89-4004,26,Canada,RESP,1/2,Pig,1989,0.06,4,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
89-4223,26,Canada,RESP,2,Pig,1989,0.03,8,0.5,0.06,0.12,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
89-4294,2,Canada,RESP,19,Pig,1989,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,yes,0.12,0.5,yes,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.06,yes,no,no,no,no,no
89-5046,27,Canada,SYS-BRAIN,2,Pig,1989,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,128,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,4,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
89-5189,10,Canada,UNKNOWN,NA,Pig,1989,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.06,no,no,no,no,no,no
89-5197,8,Canada,RESP,16,Pig,1989,32,128,256,128,1,yes,no,no,no,no,yes,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,1.4999999999999999E-2,no,no,no,no,2,no,0.03,0.06,0.5,0.12,no,no,yes,no,no,no
89-6891-2,27,Canada,RESP,2,Pig,1989,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,128,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.12,no,no,no,no,4,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
89-88-422,14,Canada,RESP,31,Pig,1989,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,yes,0.25,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.03,no,no,no,no,4,no,0.03,1.4999999999999999E-2,0.12,0.03,yes,no,no,no,no,no
90-1145,9,Canada,UNKNOWN,31,Pig,1990,32,128,256,128,32,yes,no,no,yes,no,no,yes,no,yes,yes,0.5,1,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,512,no,yes,no,yes,yes,no,no,no,8,yes,no,no,no,2,no,0.12,0.12,2,2,yes,yes,yes,no,no,yes
90-2741-7,27,Canada,SYS-BRAIN,2,Pig,1990,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
90-3615-2,10,Canada,SYS-OTHER,11,Pig,1990,32,128,256,128,2,yes,no,yes,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.06,0.25,2,2,yes,yes,yes,no,no,no
90-4400,8,Canada,RESP,NA,Pig,1990,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,32,yes,yes,no,no,2,no,0.06,0.12,2,0.5,yes,yes,yes,no,no,no
90-4517-4,10,Canada,RESP,11,Pig,1990,16,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,yes,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.5,2,yes,no,yes,no,no,no
90-546,1,Canada,RESP,NA,Pig,1990,32,128,256,128,1,yes,no,no,no,no,yes,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
91-1174,10,Canada,RESP,1,Pig,1991,0.03,16,1,2,8,no,no,no,no,no,no,no,no,no,no,0.12,0.25,no,no,no,0.12,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
91-173B-752,10,Canada,SYS-BRAIN,1,Pig,1991,0.03,8,1,2,8,no,no,no,no,no,no,no,no,no,no,0.12,0.5,no,no,no,0.25,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
91-175B-2156,25,Canada,RESP,1/2,Pig,1991,0.06,4,0.5,0.25,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
91-178-2215,29,Canada,UNKNOWN,4 + 8,Pig,1991,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,yes,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
91-178-2469,25,Canada,RESP,3,Pig,1991,32,128,256,128,0.5,yes,no,no,no,no,no,yes,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
92-1130,10,Canada,SYS-BRAIN,1,Pig,1992,0.03,4,0.5,2,4,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1.4999999999999999E-2,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
92-2402-1119,1,Canada,RESP,NA,Pig,1992,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
93-1320,1,Canada,UNKNOWN,5,Pig,1993,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,1,no,0.03,0.03,0.12,0.06,no,no,no,no,no,no
93-2042-4514,1,Canada,RESP,NA,Pig,1993,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
94-1713,8,Canada,SYS-OTHER,11,Pig,1994,32,128,256,128,0.12,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,4,yes,yes,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
94-2571,10,Canada,SYS-BRAIN,12,Pig,1994,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,1,2,no,no,no,128,32,no,no,yes,no,no,yes,no,no,no,no,no,512,no,no,no,no,no,no,no,no,1,yes,no,no,no,2,no,0.5,0.5,8,8,yes,yes,yes,no,no,yes
94-3370-6480,12,Canada,UNKNOWN,NA,Pig,1994,4,128,256,128,16,yes,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,yes,no,yes,no,no,no,no,0.06,no,no,no,no,2,no,0.06,0.12,2,1,yes,yes,yes,no,no,no
94-8576-4887,25,Canada,RESP,14,Pig,1994,4,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,32,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
