genome_id,antibiotic,measurement_sign,measurement,measurement_unit,laboratory_typing_method,testing_standard,pmid
g1307.7507,lincomycin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7507,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7507,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7507,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7507,tetracycline,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7507,tiamulin,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7507,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7507,trimethoprim,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7507,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7508,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7508,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7508,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7508,doxycycline,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7508,erythromycin,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7508,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,lincomycin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7508,spectinomycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,tiamulin,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7508,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7508,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7509,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7509,cefquinome,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7509,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7509,doxycycline,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7509,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7509,erythromycin,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7509,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7509,lincomycin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7509,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7509,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
