genome_id,antibiotic,call
g1307.7758,ceftiofur,non-susceptible
g1307.7759,ceftiofur,susceptible
g1307.7760,ceftiofur,susceptible
g1307.7761,ceftiofur,susceptible
g1307.7762,ceftiofur,susceptible
g1307.7763,ceftiofur,susceptible
g1307.7764,ceftiofur,non-susceptible
g1307.7765,ceftiofur,susceptible
g1307.7766,ceftiofur,susceptible
g1307.7767,ceftiofur,susceptible
g1307.7768,ceftiofur,susceptible
g1307.7769,ceftiofur,susceptible
g1307.7770,ceftiofur,susceptible
g1307.7771,ceftiofur,non-susceptible
g1307.7772,ceftiofur,susceptible
g1307.7773,ceftiofur,susceptible
g1307.7774,ceftiofur,non-susceptible
g1307.7775,ceftiofur,susceptible
g1307.7776,ceftiofur,non-susceptible
g1307.7777,ceftiofur,susceptible
g1307.7778,ceftiofur,non-susceptible
g1307.7779,ceftiofur,susceptible
g1307.7780,ceftiofur,non-susceptible
g1307.7781,ceftiofur,non-susceptible
g1307.7782,ceftiofur,non-susceptible
g1307.7783,ceftiofur,susceptible
g1307.7784,ceftiofur,susceptible
g1307.7785,ceftiofur,susceptible
g1307.7786,ceftiofur,non-susceptible
g1307.7787,ceftiofur,susceptible
g1307.7788,ceftiofur,susceptible
g1307.7789,ceftiofur,susceptible
g1307.7790,ceftiofur,susceptible
g1307.7791,ceftiofur,susceptible
g1307.7792,ceftiofur,susceptible
g1307.7793,ceftiofur,susceptible
g1307.7794,ceftiofur,susceptible
g1307.7795,ceftiofur,susceptible
g1307.7796,ceftiofur,susceptible
g1307.7797,ceftiofur,non-susceptible
g1307.7798,ceftiofur,non-susceptible
g1307.7799,ceftiofur,susceptible
g1307.7800,ceftiofur,susceptible
g1307.7801,ceftiofur,susceptible
g1307.7802,ceftiofur,susceptible
g1307.7803,ceftiofur,susceptible
g1307.7804,ceftiofur,susceptible
g1307.7805,ceftiofur,susceptible
g1307.7806,ceftiofur,susceptible
g1307.7807,ceftiofur,susceptible
g1307.7808,ceftiofur,non-susceptible
g1307.7809,ceftiofur,susceptible
g1307.7810,ceftiofur,susceptible
g1307.7811,ceftiofur,susceptible
g1307.7812,ceftiofur,non-susceptible
g1307.7813,ceftiofur,susceptible
g1307.7814,ceftiofur,susceptible
g1307.7815,ceftiofur,non-susceptible
g1307.7816,ceftiofur,non-susceptible
g1307.7817,ceftiofur,susceptible
g1307.7818,ceftiofur,non-susceptible
g1307.7819,ceftiofur,susceptible
g1307.7820,ceftiofur,non-susceptible
g1307.7821,ceftiofur,susceptible
g1307.7822,ceftiofur,susceptible
g1307.7823,ceftiofur,susceptible
g1307.7824,ceftiofur,susceptible
g1307.7825,ceftiofur,non-susceptible
g1307.7826,ceftiofur,susceptible
g1307.7827,ceftiofur,non-susceptible
g1307.7828,ceftiofur,susceptible
g1307.7829,ceftiofur,susceptible
g1307.7830,ceftiofur,susceptible
g1307.7831,ceftiofur,non-susceptible
g1307.7832,ceftiofur,susceptible
g1307.7833,ceftiofur,non-susceptible
g1307.7834,ceftiofur,non-susceptible
g1307.7835,ceftiofur,non-susceptible
