genome_id,antibiotic,call
g1307.7836,ceftiofur,susceptible
g1307.7837,ceftiofur,susceptible
g1307.7838,ceftiofur,susceptible
g1307.7839,ceftiofur,susceptible
g1307.7840,ceftiofur,non-susceptible
g1307.7841,ceftiofur,susceptible
g1307.7842,ceftiofur,non-susceptible
g1307.7843,ceftiofur,non-susceptible
g1307.7844,ceftiofur,non-susceptible
g1307.7845,ceftiofur,non-susceptible
g1307.7846,ceftiofur,susceptible
g1307.7847,ceftiofur,susceptible
g1307.7848,ceftiofur,non-susceptible
g1307.7849,ceftiofur,non-susceptible
g1307.7850,ceftiofur,non-susceptible
g1307.7851,ceftiofur,susceptible
g1307.7852,ceftiofur,susceptible
g1307.7853,ceftiofur,susceptible
g1307.7854,ceftiofur,susceptible
g1307.7855,ceftiofur,susceptible
g1307.7856,ceftiofur,susceptible
g1307.7857,ceftiofur,susceptible
g1307.7858,ceftiofur,susceptible
g1307.7859,ceftiofur,susceptible
g1307.7860,ceftiofur,susceptible
g1307.7861,ceftiofur,susceptible
g1307.7862,ceftiofur,susceptible
g1307.7863,ceftiofur,susceptible
g1307.7864,ceftiofur,susceptible
g1307.7865,ceftiofur,susceptible
g1307.7866,ceftiofur,susceptible
g1307.7867,ceftiofur,susceptible
g1307.7868,ceftiofur,susceptible
g1307.7869,ceftiofur,susceptible
g1307.7870,ceftiofur,susceptible
g1307.7871,ceftiofur,non-susceptible
g1307.7872,ceftiofur,susceptible
g1307.7873,ceftiofur,susceptible
g1307.7874,ceftiofur,susceptible
g1307.7875,ceftiofur,susceptible
g1307.7876,ceftiofur,susceptible
g1307.7877,ceftiofur,susceptible
g1307.7878,ceftiofur,susceptible
g1307.7879,ceftiofur,susceptible
g1307.7880,ceftiofur,susceptible
g1307.7881,ceftiofur,susceptible
g1307.7882,ceftiofur,susceptible
g1307.7883,ceftiofur,susceptible
g1307.7884,ceftiofur,susceptible
g1307.7885,ceftiofur,susceptible
g1307.7886,ceftiofur,non-susceptible
g1307.7887,ceftiofur,susceptible
g1307.7888,ceftiofur,susceptible
g1307.7889,ceftiofur,susceptible
g1307.7890,ceftiofur,susceptible
g1307.7891,ceftiofur,susceptible
g1307.7892,ceftiofur,susceptible
g1307.7893,ceftiofur,susceptible
g1307.7894,ceftiofur,susceptible
g1307.7895,ceftiofur,susceptible
g1307.7896,ceftiofur,non-susceptible
g1307.7897,ceftiofur,susceptible
g1307.7898,ceftiofur,susceptible
g1307.7899,ceftiofur,non-susceptible
g1307.7900,ceftiofur,non-susceptible
g1307.7901,ceftiofur,susceptible
g1307.7902,ceftiofur,susceptible
g1307.7903,ceftiofur,susceptible
g1307.7904,ceftiofur,susceptible
g1307.7905,ceftiofur,non-susceptible
g1307.7906,ceftiofur,non-susceptible
g1307.7907,ceftiofur,non-susceptible
g1307.7908,ceftiofur,non-susceptible
g1307.7909,ceftiofur,susceptible
g1307.7910,ceftiofur,susceptible
g1307.7911,ceftiofur,susceptible
g1307.7912,ceftiofur,susceptible
g1307.7913,ceftiofur,non-susceptible
